Player,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
Andy Roddick,147,100,47,0.6802721088435374,0.15083848190644308,0.02294792586054722,0.6695498676081201,0.773925652517796,0.5536858974358975,0.7011473962930274,0.35057277628032346,0.5217653650547367,1.1730624794022637
Carsten Ball,11,3,8,0.2727272727272727,0.12064343163538874,0.05093833780160858,0.6041108132260947,0.7292899408284024,0.5124153498871332,0.6434316353887399,0.3312775330396476,0.4862466725820763,0.9290715776224703
Richard Gasquet,286,186,100,0.6503496503496503,0.07571454745327959,0.029910223525100768,0.6251832172957127,0.7320682833907246,0.5461322253452279,0.662376328325394,0.3826585453242565,0.5209465579710145,1.1333877847672187
Matthew Ebden,99,33,66,0.3333333333333333,0.0693043364339054,0.058823529411764705,0.6107690292152496,0.6992706992706993,0.44025580612588355,0.5984540809642342,0.35038084874863984,0.4767434100767434,0.8725797776503648
Tomas Berdych,361,252,109,0.6980609418282548,0.10459991987471319,0.030993917762319263,0.5782860472739192,0.7806398790779695,0.5338112099490457,0.6765487853734931,0.39004658004412845,0.5304945545438314,1.2058899840413955
Marcos Baghdatis,222,118,104,0.5315315315315315,0.09212758737699356,0.04224635222259925,0.5256758285261848,0.7509413663259817,0.5222367950399428,0.6424612600384572,0.3715347083610557,0.5056554118371689,1.039145320031665
Thomaz Bellucci,194,96,98,0.4948453608247423,0.07855666228152602,0.035456994299317174,0.577523021988348,0.7129840546697038,0.5077105575326216,0.6262607279333459,0.3738816031376394,0.4986834360769493,1.000380829850174
James Blake,109,49,60,0.44954128440366975,0.06623622397862629,0.03784927084492931,0.5664032060558833,0.7313286163522013,0.48985879332477533,0.6266280752532561,0.36128956897558695,0.4971500227998176,0.9676398921012813
Marc Gicquel,28,7,21,0.25,0.06508078994614004,0.03590664272890485,0.5610412926391383,0.6896,0.4887525562372188,0.6014362657091562,0.34045584045584043,0.4746192893401015,0.8542067708734375
Florent Serra,77,25,52,0.3246753246753247,0.050938750384733764,0.024007386888273315,0.6060326254232071,0.6637887252412392,0.491796875,0.5960295475530932,0.3447189520809153,0.47505786575145664,0.8533271430940143
Gael Monfils,236,159,77,0.673728813559322,0.1025337924654366,0.04702677699542581,0.6403864932929023,0.7258426966292135,0.5005002143775904,0.6448064963766253,0.3894211774002371,0.514569953406372,1.0963634566164682
Alejandro Falla,142,53,89,0.3732394366197183,0.042278280741847585,0.036389206293398965,0.5853915795025051,0.669069069069069,0.4958660165359339,0.5972576250329612,0.37072696758236906,0.48427174200370077,0.9205064841083833
Wayne Odesnik,34,13,21,0.38235294117647056,0.052756977535738596,0.03778080326752893,0.6051735874744725,0.6490438695163104,0.4982758620689655,0.5895166780122533,0.37422867513611613,0.4853328649218338,0.9116781488805218
Alexandr Dolgopolov,256,135,121,0.52734375,0.10350650640707261,0.03362471441343002,0.5306446806397139,0.750093597903407,0.5135449735449735,0.6390682427734181,0.3713646532438479,0.5038087281305288,1.0289054532009954
Radek Stepanek,186,96,90,0.5161290322580645,0.06044723969252271,0.03906359189378057,0.6195667365478686,0.7057297541168509,0.5154298310066128,0.6333333333333333,0.3802516674688854,0.505770630437043,1.0370500021878692
Robby Ginepri,49,17,32,0.3469387755102041,0.05467026231919588,0.027457710223093897,0.6244177494483942,0.6631330977620731,0.5339425587467362,0.6146114243687179,0.3471707437608105,0.48141767167117894,0.9008329922394058
Lukas Lacko,131,52,79,0.3969465648854962,0.07417866892591547,0.03200602466346606,0.5862750635413725,0.7088953114964676,0.49806598407281,0.6216699614044997,0.34549109707064907,0.4847406141724809,0.9132002797167219
Dudi Sela,123,50,73,0.4065040650406504,0.029430650684931507,0.03991866438356165,0.598458904109589,0.6684549356223176,0.5047974413646056,0.6027397260273972,0.3810822147651007,0.49078389830508473,0.959275919925943
Stan Wawrinka,272,181,91,0.6654411764705882,0.08675134515303873,0.030740054688189116,0.5794301843521213,0.7413609377378596,0.5422609060402684,0.6576254741113169,0.38253844824606875,0.518659159355768,1.1173099028122326
Michael Russell,121,46,75,0.38016528925619836,0.034947949861907794,0.04514552793711493,0.6431909921393669,0.6624277456647398,0.48943137838642453,0.6007010834926705,0.3705361901716235,0.48582069699388136,0.9279669311720307
Stephane Robert,55,20,35,0.36363636363636365,0.03995656894679696,0.047122692725298586,0.5487513572204126,0.6913335971507717,0.47401347449470643,0.5932681867535288,0.3712403951701427,0.4828602620087336,0.9127399998710662
Michael Berrer,110,44,66,0.4,0.06662844036697248,0.03543577981651376,0.6474770642201835,0.7027984413744244,0.49154196486662327,0.6283256880733945,0.3467161754467394,0.48834929057561427,0.9328494445836369
Thiemo De Bakker,88,38,50,0.4318181818181818,0.107506817855605,0.024400746375771495,0.597961820008612,0.7309169467114738,0.5023205997857908,0.6390124874407923,0.33746397694524494,0.48853095563385346,0.9348355973668078
Robin Haase,193,87,106,0.45077720207253885,0.07629808302653295,0.032436206677669166,0.6014345563031611,0.714934036939314,0.4895684026118809,0.6251110828995811,0.36729964596073383,0.49710760970309054,0.9797559469125298
Somdev Devvarman,95,37,58,0.3894736842105263,0.0485687152353819,0.02306335639668973,0.597612264278931,0.666061293984109,0.4939312204989885,0.5967982634649301,0.3764247984431471,0.4879505664263646,0.9335892292477918
Janko Tipsarevic,225,140,85,0.6222222222222222,0.0915894306602959,0.02970468021415002,0.5733118415750389,0.7442514308665529,0.5445223961144091,0.6590294168441656,0.3792624680662002,0.516635101902366,1.1123026055677805
Jan Hajek,71,22,49,0.30985915492957744,0.03920373755839935,0.025594149908592323,0.6479788746699168,0.631974921630094,0.4697057126370456,0.5748527320739386,0.3600411946446962,0.4681939046839845,0.8468623035049399
Santiago Giraldo,221,102,119,0.46153846153846156,0.04852796575857481,0.018335357741916827,0.635606454971369,0.6862316862316862,0.5136507936507937,0.6233443229799295,0.3645314353499407,0.49556355969428095,0.9678108086248657
Marcel Granollers,224,108,116,0.48214285714285715,0.052186907293522614,0.029886775102017357,0.614000804643945,0.6879153795750257,0.48645026801667657,0.6101500086211852,0.3810973890486663,0.49453489696003644,0.9775487943473015
Marin Cilic,279,185,94,0.6630824372759857,0.10121879389243804,0.033528159122830865,0.5586516243033846,0.7562854825628548,0.5307463299455908,0.6567441438992343,0.38273133206596227,0.5180577310360259,1.1150030662655561
Roger Federer,368,304,64,0.8260869565217391,0.10054126720203771,0.019351186896380938,0.6302048324901829,0.7796115414842258,0.573232564813929,0.7032935932359288,0.39726297134980804,0.5445367564438693,1.3389093133593684
Evgeny Korolev,37,14,23,0.3783783783783784,0.05806688717383315,0.05108416023520764,0.5670709298052187,0.6928062216461439,0.47538200339558573,0.5986769570011026,0.3791970802919708,0.48855520966855887,0.9448674500681801
Andreas Seppi,255,127,128,0.4980392156862745,0.06041917610214406,0.03054685617923392,0.5921946518911105,0.7026279391424619,0.5114603024574669,0.6246687545169839,0.3790630749634382,0.5005720823798627,1.009942762627235
